indicator,Unit,Date,Value,Date_clean,Year,Quarter
Volume,,2016,11719847.0,2016-01-01,2016,1
Volume,,2016Q1,2847438.0,2016-01-01,2016,1
Volume,,2016Q2,2884367.0,2016-04-01,2016,2
Volume,,2016Q3,3008641.0,2016-07-01,2016,3
Volume,,2016Q4,2979401.0,2016-10-01,2016,4
Volume,,2016M1,954659.0,2016-01-01,2016,1
Volume,,2016M2,951824.0,2016-02-01,2016,1
Volume,,2016M3,940955.0,2016-03-01,2016,1
Volume,,2016M4,887721.0,2016-04-01,2016,2
Volume,,2016M5,909546.0,2016-05-01,2016,2
Volume,,2016M6,1087100.0,2016-06-01,2016,2
Volume,,2016M7,970240.0,2016-07-01,2016,3
Volume,,2016M8,1071921.0,2016-08-01,2016,3
Volume,,2016M9,966480.0,2016-09-01,2016,3
Volume,,2016M10,1024100.0,2016-10-01,2016,4
Volume,,2016M11,990676.0,2016-11-01,2016,4
Volume,,2016M12,964625.0,2016-12-01,2016,4
Value (N'Billion),Billion naira,2016,5829.56,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016Q1,1453.29,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016Q2,1441.5,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016Q3,1414.91,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016Q4,1519.86,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M1,464.55,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016M2,501.17,2016-02-01,2016,1
Value (N'Billion),Billion naira,2016M3,487.57,2016-03-01,2016,1
Value (N'Billion),Billion naira,2016M4,472.46,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016M5,480.41,2016-05-01,2016,2
Value (N'Billion),Billion naira,2016M6,488.63,2016-06-01,2016,2
Value (N'Billion),Billion naira,2016M7,436.05,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016M8,518.12,2016-08-01,2016,3
Value (N'Billion),Billion naira,2016M9,460.74,2016-09-01,2016,3
Value (N'Billion),Billion naira,2016M10,457.58,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M11,510.31,2016-11-01,2016,4
Value (N'Billion),Billion naira,2016M12,551.97,2016-12-01,2016,4
Volume,,2016,590238934.0,2016-01-01,2016,1
Volume,,2016Q1,124790186.0,2016-01-01,2016,1
Volume,,2016Q2,136390687.0,2016-04-01,2016,2
Volume,,2016Q3,153167033.0,2016-07-01,2016,3
Volume,,2016Q4,175891028.0,2016-10-01,2016,4
Volume,,2016M1,39170746.0,2016-01-01,2016,1
Volume,,2016M2,41189325.0,2016-02-01,2016,1
Volume,,2016M3,44430115.0,2016-03-01,2016,1
Volume,,2016M4,45806594.0,2016-04-01,2016,2
Volume,,2016M5,45474823.0,2016-05-01,2016,2
Volume,,2016M6,45109270.0,2016-06-01,2016,2
Volume,,2016M7,48430647.0,2016-07-01,2016,3
Volume,,2016M8,53775039.0,2016-08-01,2016,3
Volume,,2016M9,50961347.0,2016-09-01,2016,3
Volume,,2016M10,56546546.0,2016-10-01,2016,4
Volume,,2016M11,57386224.0,2016-11-01,2016,4
Volume,,2016M12,61958258.0,2016-12-01,2016,4
Value (N'Billion),Billion naira,2016M1,339.22,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016M2,350.1,2016-02-01,2016,1
Value (N'Billion),Billion naira,2016M3,380.67,2016-03-01,2016,1
Value (N'Billion),Billion naira,2016M4,381.67,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016M5,382.31,2016-05-01,2016,2
Value (N'Billion),Billion naira,2016M6,370.51,2016-06-01,2016,2
Value (N'Billion),Billion naira,2016M7,394.35,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016M8,427.81,2016-08-01,2016,3
Value (N'Billion),Billion naira,2016M9,424.64,2016-09-01,2016,3
Value (N'Billion),Billion naira,2016M10,469.75,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M11,494.16,2016-11-01,2016,4
